,Feedbacks
0,aaa+++
1,okay thanks a1 super fast
3,great service
4,"described, shipped fast . thanks"
5,add collectiobn..thanks
6,many thanks quick delivery.boing boing baggy baggy
7,item arrived. many thanks
8,reasonable replacement manufacturer original. thank you!
9,great product service
10,"super fast delivery, exactly ordered described... thank u"
11,arrived early. thankyou.
12,seller sent caliper covers fit vehicle painted poorly. reached seller offered pay $12 told sell someone else. want full refund gladly send back product!!!
13,suitable delivery time. good chain worth wait get lower price. thanks.
14,beautiful cute
15,fast delivery thank
16,aaa+
17,"extremely fast service thank ,"
18,great seller fast postage aaa+++
19,good
20,good seller. fast postage. a+++
21,described
22,thank
23,happy
24,aaa++++
25,"ok, quality,,fast delivery.."
26,thanks
27,thank's
28,love case seller nice polite love timing new box sweet perfect love thank
29,easy deal with.would highly recommend seller.
30,â–€â–„â–€â–„â–€â–ˆâ–“â–’â–‘gâ–‘râ–‘eâ–‘aâ–‘tâ–‘ â–‘eâ–‘bâ–‘aâ–‘yâ–‘eâ–‘râ–’â–“â–ˆâ–€â–„â–€â–„â–€
31,good thanks
32,delivered quick
34,good seller. thanks !!
35,"thx,"
36,windshield visor cover fricken joke flimsy cannot use stay place. actually found better use use floor mat work car. yes works negative.
37,"item described, quick shipp, thank you,,"
38,described delivered time
39,fast delivery
40,good quality arrived time.
41,item arrived today thank
42,fast delivery!
43,great product speedy delivery
44,good product.
45,great thanks
46,item arrived advertised a++++
47,great product great ebayer many thanks
48,good quality. came expected picture.
49,great service. great seller. thank you.
50,"items exactly described, good value, well packaged"
51,good product fast delivery !!!! :)))
52,sensational purchase .
53,thank a+++
54,"awesome, fast yep awesome!"
55,looks great great price!
56,good price
57,5 5
58,thankyou much
59,great item ln perfect condition fast shpping thank
60,thinner expected.
61,described fast delivery
62,fast delivery
63,got iit
64,good price service.
65,great
66,came quick good
67,good quality iteam good shipping
68,"works fine, perfect car."
69,"good, nice product, smooth transaction. a+++ seller."
70,"great seller valve caps exactly wanted, match caps 2014 holden caprice"
71,great seller
72,"thank , item received"
73,good
74,gr8 deal with. would buy aaaaaaaaa++++++++ thank
75,good ðŸ‘
76,package arrived perfect condition thank you.
77,nice material fast delivery.
78,great product buy sure
79,fast service
80,thanks fast delivery
81,excellent service highly recommended.thank you..... fast delivery....
82,thank
83,cheers mate. a+ seller.
84,happy item. fast delivery
85,great ebay sellers thanks +++++
86,eject button cigarette lighter described fits vehicle. honest ebay seller.
87,good find
89,items described great communication.
90,ðŸ‘
91,"perfect part, great price, fast delivery."
92,great trader! thank much!
93,good seller
95,thank
96,problem sellers good guy business take care a+
97,good ebayer aaa service
98,"looks great, nice!"
99,"excellent, thankyou"
100,excellent sales service a++++++
101,good
102,"ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ received, thank ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘"
103,great service product
104,product arrived issues.
105,"simple easy purchase, thank"
106,nice.
107,great business
108,"great stuff, thank much"
109,shocking delivery time.
111,fiddely functional assembled
112,pleased purchase.
113,"great item, fast postage."
114,item described arrived promptly
115,item arrived thanks works perfectly programmed car lock @unlock pushing button thanks
116,great thanks. although dont glow long
117,good product. recommended ðŸ‘ðŸ»
118,definitely recommend it. top seller
119,excellent seller good. thank
121,thankyou
122,little heritage added car exterior
123,work good excelent value
124,excellent trader. . thankyou.
125,"absolute crap. take backing paper , can't see it. dont waste money"
126,thanks
127,"good communication slow delivery, excellent ebayer."
129,ok
130,ðŸ‘ðŸ½
131,excellent.
132,aaa+++++seller.
133,"reliable seller,would recommend . fast delivery"
134,excellent aaaaaaaaaaaa+++++++++++++++
135,thank item received today works good phone thank much good sellerï¿¼
136,described rate aaaï¿¼
137,great communication super fast postage thank you!
138,*****
139,"item described, good condition. thank"
140,love it!! fast shipping!
141,awesome
142,"great seller, fast shipping a++"
143,recommended ++++++
144,muy conveniente. 100% recomendado!
145,thanks lot ðŸ¤—ðŸ¤—ðŸ¤—ðŸ¤—
146,allgood
147,good product described.
148,nice
149,excellent trader highly recommended
150,ok
151,"great product, fast postage."
152,good communication described
153,nice products!!fast shipping!!!
154,little smaller side
155,fast shipment
156,"excellent sellers , good product aaa ++++++++"
157,"good, issues."
158,received early thank soo much ðŸ˜Š happy purchase
159,lgot item fast postage thankyou happy purchase a+ 5*
160,great quality item. love
161,horrible
162,"item received, thanks!"
163,thanks!
164,thank u much
165,"amazing, love it! exactly described"
166,good price & delivery recomendid e seller 5*'s ++
167,good price & delivery recomendid e seller 5* ++
168,first class transaction
169,thank you. service a1
170,good sales service.. happy buy seller ..
171,thanks mate 5 star seller â­ï¸â­ï¸â­ï¸â­ï¸â­ï¸
173,good service good product
174,wonderful seller. fast post. good product. 100% happy. buy again. aaaa
175,thanks. arrived earlier expected
177,"fast postage, great item, thank a+++"
179,ok!
180,excellent service quick companyðŸ‘ŒðŸ‘ŒðŸ‘Œ
181,"thanks, nice"
182,great ebayer a+++
183,easy order.
184,arrived quickly described
185,great seller excellent item thank
187,"great product, fast delivery, highly recommended ðŸ‘Œ"
188,item spot
189,item perfect
190,good thanks
191,quick easy transaction ðŸ‘Œ
192,a+++ product
193,great deal
195,arrived time... look good.. items described
196,fast delivery item described.. thank-you
197,good
198,awesome thanks
199,excellent condition
200,work perfect
201,excellent service. fast postage a1
202,thanks prompt service
203,awsome item honest seller bye a++++++
204,fast delivery! received item early .
205,satisfied!
206,"best, 4 applications still see."
207,good deal . thanks
208,great seller. fast delivery.
209,good
210,amazing thanks
211,honest seller!
212,a+++++++....awesome positive experience....thanks...
213,great
214,great seller. happy
215,great item
216,brilliant service
217,next useless.... microscopic size....made look bigger listing..
218,"thank , much appreciated"
219,geat product. thankyou
220,good
222,arived parchialy dryed
223,everything ok.
224,iâ€™m happy product service. thank much & kindest regards ðŸ’–ðŸ™
226,happy
227,arrived
228,"good, buy confidence. :)"
229,fast delevery! ++++
230,happy service
231,good lights car indicators
232,nothing
233,"great product, good price fast delivery!"
234,thanks
236,fantastic product.
237,excellent
238,happy thanks
239,fast delivery product described thank
240,good
241,great product . arrived quickly
242,good excellent service best delivery iâ€™ve 6 months
243,great product super quick delivery. thx.
244,good! recommended.
245,product described! thank you!
246,"fantastic seller, reliable, great items & fast reliable postage. a+++++"
247,"fit properly,"
248,fantastic item fast postage aaa+++
249,"great seller, thank"
250,excellent seller a+++
251,perfect item
252,happy
253,prompt delivery. exactly described.
254,top product.
255,arrived described. good ebayer
256,easy transaction. highly recommended.
257,"items arrived described, thanks"
258,excellent a1 perfect recommend
259,festoons large globes fine
263,arrived ðŸ˜Š
264,thank great purchasing experience!
265,"great item, fast shipping, would business a+a+a+"
266,a++ love
267,perfect seller. item perfect condition. thank much.
268,prompt transaction... fast shipping... highly recommend...
269,"good one, described"
270,good qualities price
271,good seller.
272,received parcel today 2 months good quality recommended seller.
273,described
274,cool little usb light pretty bright size item described
276,satisfied responsible reliable sellern
277,"6 6. arrived 8/8/22. one, put i'm sure they'll trick. (prevent scratches rings & things) a1+"
278,"5 6. arrived 8/8/22. put yet look alright. thanks team, a1+"
279,"4 6. arrived 8/8/22. handy hooks, thanks team, a1+"
280,"3 6. arrived 8/8/22. good work, a1+"
281,"2 6. arrived 08/08/2022. thank's team, good ebayer's, a1+"
282,"1 6. arrived 08/08/2022. thanks team, good ebayer a1+"
283,item described
284,fast delivery great thanks
285,ok!
286,awesome
287,great item fast postage
288,"item described, quick shipp, thank you,,"
289,great seller. thank you.
290,great seller!
292,"fast shipping, great product a+++"
294,items wanted thanks delivery
296,looks like good quality
297,beautiful
298,concept good - time tell works well. suction caps seem bit poor - may replace glue on.
299,arrived earlier edd
300,great product
301,10/10
302,love
303,"great condition, fast postage great quality. highly recommend"
304,highly recommended!
306,received excellent items superb condition excellent delivery service defondly use
307,subtle little red lights. like em
308,looks great
310,"excellent seller, quick delivery, highly recommend"
311,love coffee morning thanks
312,good
313,items ordered expected price
314,aaa+ good value product.
315,thanks after. would buy seller.
316,good thank you.
317,awesome thanks dorfy 999 !!!!!! fast delivery & described
318,"absolutely wonderful seller great business you, thanks"
319,received many thanks
320,good
321,"great seller good auto-parts accessories makes models, unexpected fast prompt delivery door-step, easy 5 stars ***** me!"
322,great e bay supplier
323,a+++++++....positive experience....thanks...
324,"thanks great service . fantastic job, a1.."
325,product good quality
329,good thank you....
330,listed great item fast post recommend seller
331,received great item pristine condition good service defondly use
332,...
333,thank much day
335,"thank fast postage, much appreciated"
336,thank fast quick service.
337,awsome
338,"arrived, described, thank"
340,good quality
342,good service thank
343,good service thank
345,gr8 novelty item amuses see
346,please give positive feedback.
347,great product
348,***** ×Ÿ
349,"goods exactly described, fast delivery & great service. credit ebay a+++"
350,problems
351,great thank
352,great thank
353,good product
354,excellent service a+++ thank you. ðŸŒŸ
355,excellent seller product highly recommended.
356,great ebayer a++++
357,"cheap, pretty good option"
358,thanks !
359,great thankyou
360,aaa+++
363,super fast shipping outstanding item!!! thank much!!!
365,"â˜…Âª""ËœÂ¨Â¨â˜…Âª""ËœÂ¨Â¨Â¯Â¯Â¨Â¨ËœÂªÂ¤.Â¸`*â€¢.Â¸*â€¢Â¸â˜…â˜†â˜†wonderful seller!â˜†â˜†â˜…Â¸â€¢*Â¸.â€¢*Â´Â¸.Â¤ÂªËœÂ¨Â¨Â¯Â¯Â¨Â¨Ëœ""Âªâ˜…Â¨Â¨Ëœ""Âªâ˜…"
366,"great, thanks"
367,"good deal with, informative, quick response. thank you."
368,got delivery within timeframe really improve sound insulation. still sounds feels like before.
370,didnt fit 2011 e90
371,great idea buy
372,happy!
373,top product delivered fast. thank
374,thanks nice product speedy delivery
375,thx awesome fast respond fl fast shipping
376,good arrived earlier expected thanks
377,delivery time great overseas purchase.
378,"quality made, happy it. looks great ðŸ‘"
379,purrrrrrrfect *** a1 seller *** fast post *** thank
380,honest seller recommended people.ðŸ‘ðŸ‘ðŸ‘long postage ties arrived finally 2 months send match box size product excessive
381,item turn thanks...
382,wow arrived early described
383,great product. happy purchase. thank
384,take long get product
385,"top product, thank"
387,"good deal, thanks.."
389,highly recommended seller. safely packed. fast delivery.
390,excellent produjct service would recomend 10 star
394,happy great service quick postage a++++
395,fast thank
396,good product. fast delivery. a+++++ sellar.
398,would better plastic
399,order arrived late bit seller constant contact me.
400,excellent seller.
401,another great buy.thank
402,"recommend seller, good deal genuine one. 5 star!"
403,put see lot clearer
404,happy sale
405,wrong product
406,wouldnâ€™t buy got one on.
407,5-star
410,really satisfied
412,"great item, great seller, responsive easy work with!"
413,doctor ordered
414,".looks good value mony,"
418,good!! thank you!
419,yes. item arrived. ðŸ˜€
420,"ebay says fit car, upon arrival none bulbs actually fit. disappointed misleading information"
424,"good price, fast delivery"
427,rendben
430,good laugh.
433,poor quantity would purchase company
435,"great product, fast shipping, thank much."
436,"item cheap plastic worth buying, positive left though dollars"
437,"great item,thank geoff"
438,perfect!
439,excellent seller
440,great product slow post
441,great ebayer
446,plastic!
447,excellent item seller thanks!
448,happy item. fast delivery
449,100%
450,top seller
451,great product....
452,5 star seller. thank
453,excellent seller positive transaction!
454,looks great.
455,awesome item....thanks!
456,"great product, fast posting, better real life, great ebayer"
457,excellent trader
458,matched car colour perfectly
459,great sticker
460,thx heaps
461,sticker advertised sent thin plastic envelope sticker bent folded quite places ðŸ˜ž
462,ðŸ™ðŸ˜Š
463,far long supposed received end june / first week july canâ€™t give stars minimum next time make sur order overseas
464,good
465,"great service ,great product thank great ebayer pleasure business a++"
466,"good, thank"
467,"great,tnx"
468,"a++. fast delivery, good quality."
469,"great, ended given away, chep nasty."
470,good seller
471,great product
472,even like picture
473,described good product. thank
474,great price
475,"arrived reasonable time, works described, looks great, a++++"
476,arrived described
477,"looks great, got wrong colour, re-painted, also plastic, cast ali, really happy that, see days."
478,"top item, great ebayer"
480,"good service, price. recommended"
481,holaa buenas tardes las luces le silvieron mi guagua son universales le silvieron que podemos hacer
482,sensational. thankyou much. a+ seller.
483,top seller. delivery time item described.
484,"excellent products, good seller. recommend seller wish business them. thank you!"
485,great product buy
486,"expected delivery date, accurate descriptionï¿¼, fantastic communicationï¿¼. highly recommend ï¿¼aaa+++"
487,"looks good, fitted yet."
488,fantastic service thanku
489,perfect.
490,fantastic product polite easy deal order came earlier expected ðŸ˜€
491,good seller shipped time dramasï¿¼ came earlier expected
492,"good product arrived within given time frame, good"
494,good quality
496,great would use +++ day delivery!!!!!!!!!!! quick.
499,"good item, quick postage, problem, use"
500,good item
502,"great seller, would buy again.. aaa"
503,small
504,great seller miss understood use item seller great communication happy sale seller great items good price thank
505,excellent thanks
506,thanks...
507,thank you..
508,thank you...
509,delivery took ever. product fine
510,none
511,good service
512,love it. great fit
513,listed
514,got wrong item size
515,"good product, great price"
517,buy item need .
518,perfect thanks
519,thanks easy transaction
522,"item described good quality, highly recommended seller, come back track."
523,delivery took eternity. told would long wait
524,good.
526,"early delivery , exactly described. thanks"
527,great product fast service buy happy a+++++++++++++++++++++
528,good seller would use
529,super fast shipping packed well! awesome seller
530,pleasure business with.
532,great transaction. well treated. thank you. dd
533,"ðŸ‘good seller, happy customer.ðŸ‘thanks gift."
534,great price
537,quick delivery said wasï¿¼
539,"a++ arrived quickly top condition, many thanks"
540,good seller
541,helt greie
543,fast service great item a+++
544,a++ service communications
546,"receivd , thanks"
547,excellent easy transaction. 10/10
548,quick easy thanks
549,great value happy purchase
550,already emailed product fit truck gotten response back want right product fits truck. please help. also took almost month receive product.
551,great product thanks
552,good
553,received thanks happy purchase
554,smooth transaction thanks
555,item received.
556,awesome!!! a+++ fast service item excellent condition;will buy definitely arrived eta delivery!!! ðŸ˜Š
557,"thank sorry took long get back check things first, thing super preceded ever thank timely manner send order received good condition, ever mentally challenged nephew package opened it, forgot . time sorry delay responding cordially wayne tregear."
558,arrived time & good product .
559,thank much product arrived
560,good item . well packaged.
561,fitted well
562,happy deal
563,awesome! buying moreðŸ˜
564,place buy
565,great item thx
566,"nice item, smooth transaction"
567,exactly described. great ebayer
568,thanks
569,great product price
570,great described
571,"top job, quick delivery! top quality too!"
572,good thanks.
573,prompt
574,good services seller
575,aaa+++ebayer
577,excellent product happy good service aðŸ˜€ðŸ˜€ðŸ˜€ðŸ˜€ðŸ‘l
578,"havenâ€™t stuck yet, look good."
579,"bad, good size."
581,great product fast delivery
583,prodcut described
586,brutal seller highly recommended
587,great seller
588,happy
589,"came pretty quick, canâ€™t wait see looks on."
590,"good product, fast shipping."
591,good product service
592,item described.excellent seller.cheers
593,quick easy
594,item described thankyou perfect itemðŸ‘ fast shipping recommended seller
595,thanks ðŸ‘ fast delivery top seller
596,good product thankshappy thanks
598,"good product. fast delivery, received early .recommend others. well packed. works well. thank you."
599,perfect thankyou
600,happy item l wood buy sellers
601,received thanks
602,â­ï¸â­ï¸â­ï¸â­ï¸â­ï¸â­ï¸ fast shipping ðŸš¢
603,thank easy transaction.
604,great product arrived early also
605,time definitely back plus seller fast shipping
606,good arrived safe well packed
607,great service
608,"awesome item ,great seller, ultra fast delivery best aaa++++"
609,pleasure
610,good
611,accurate product..recommend seller..
612,great stuff
613,works well. good
614,aaa+++
616,"ðŸ˜Š hi thank you,very good 5 stars,very fast delivery.......>ðŸ’¯"
617,"fast delivery , item described , highly recommend 5 * * * * * seller"
618,arrived quickly described
619,item received order well packed. thanks seller.
621,item received described. quick delivery. thanks ðŸ˜Š
622,nice metal shapes came well packed. thanks
623,"fast shipper, would purchase"
624,h/recomend
625,excellent
626,best quality transaction smooth
